Date,Count,Top,Type,Tickers,Weights
2023-03-20,10,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|META|GOOG|GOOGL|NVDA|PEP|COST,0.257430|0.204960|0.118048|0.091118|0.064812|0.064352|0.062683|0.058058|0.042272|0.036268
2023-06-19,10,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|NVDA|META|GOOG|GOOGL|AVGO|PEP,0.237188|0.202293|0.118736|0.101458|0.074956|0.072105|0.061341|0.059911|0.037089|0.034924
2023-09-18,10,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|META|NVDA|GOOG|GOOGL|AVGO|PEP,0.224059|0.191007|0.129825|0.101260|0.076098|0.075671|0.067348|0.065705|0.035787|0.033239
2023-12-18,7,AAPL,Recon,AAPL|MSFT|AMZN|TSLA|NVDA|GOOG|GOOGL,0.262396|0.230310|0.151834|0.102242|0.092103|0.081745|0.079370
2024-03-18,7,MSFT,Rebal,MSFT|AAPL|NVDA|AMZN|GOOGL|TSLA|GOOG,0.240691|0.239847|0.154363|0.142559|0.074678|0.074664|0.073198
2024-06-24,7,AAPL,Rebal,AAPL|MSFT|NVDA|AMZN|META|GOOGL|GOOG,0.239456|0.215242|0.171530|0.126169|0.097854|0.075501|0.074250
2024-09-23,10,AAPL,Rebal,AAPL|MSFT|NVDA|AMZN|META|TSLA|AVGO|GOOGL|GOOG|COST,0.208135|0.166614|0.134735|0.105182|0.088415|0.071311|0.070191|0.054477|0.053509|0.047430
2024-12-23,9,AAPL,Recon,AAPL|MSFT|NVDA|TSLA|AMZN|AVGO|META|GOOGL|GOOG,0.208238|0.148617|0.143527|0.108903|0.108257|0.083838|0.083382|0.058151|0.057086
2025-03-24,9,AAPL,Rebal,AAPL|NVDA|MSFT|AVGO|META|AMZN|TSLA|GOOGL|GOOG,0.195369|0.175223|0.166304|0.112412|0.107137|0.096863|0.050874|0.048788|0.047030
2025-06-23,9,NVDA,Rebal,NVDA|MSFT|AAPL|AVGO|META|AMZN|TSLA|GOOGL|GOOG,0.185727|0.183860|0.159394|0.133446|0.108020|0.088672|0.056873|0.042951|0.041058
2025-09-22,9,NVDA,Rebal,NVDA|AAPL|MSFT|AVGO|META|AMZN|GOOGL|GOOG|NFLX,0.195960|0.168001|0.161493|0.147838|0.098087|0.080208|0.054442|0.051857|0.042115
2025-12-22,8,NVDA,Recon,NVDA|AAPL|MSFT|AVGO|AMZN|GOOGL|TSLA|GOOG,0.205719|0.186711|0.160024|0.156641|0.084457|0.070122|0.069293|0.067033
2026-03-23,8,AAPL,Rebal,AAPL|NVDA|MSFT|AVGO|GOOG|AMZN|GOOGL|TSLA,0.243321|0.139349|0.114901|0.110905|0.106121|0.104986|0.104587|0.075829
